Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
11,1721.3629626137997,1715.7369532672665,1702.3672779546666,1718.6013877477333,1874.7381055634671,1935.5806032225466,2341.8909645839667,2531.9728741824065,2603.8305859854,2635.6838711229666,2647.191697387813,2635.8517245598537,2600.3855355921064,2629.5300618513,2641.1394080752,2644.8930656224666,2661.115738424334,2628.5287720555866,2244.4859522356337,2189.5567750313,1931.5367032046333,1866.0112690658336,1742.5378464895332,1719.7079460466
12,1583.5476538884,1563.3519324321,1556.4497720548,1570.1633940891,1770.1850271883002,1812.9427521018501,2244.94071355786,2453.00755030631,2583.63472880873,2643.11796471769,2679.61260400802,2692.7093091258203,2655.9913670898,2686.183853666301,2690.203671866,2692.5282301745005,2714.6447047223,2720.403394238,2247.7703026533,2214.5257302068994,1923.2137276721999,1843.2262651248998,1687.7703083280999,1676.0520314823996
01,1804.505896205733,1784.0151790960665,1751.8855093100665,1733.7835006294,1920.5758460689,1942.0343649584665,2400.152408277567,2601.3792241040005,2647.8261515725003,2679.142692752234,2703.963595323267,2716.3785656379664,2683.2079585532,2714.1835385708005,2720.7789000393664,2727.5442658975335,2752.4077935749337,2778.0669007849333,2316.088007689567,2294.599787596567,2024.6512391239,1983.8782980895667,1861.2039497230664,1862.0413987760667,3
02,1773.4075750883997,1777.9584163993998,1776.0678176974,1775.1553240164,1956.0524301809,1965.0060134512,2418.2294621055003,2603.4463129395003,2659.6981460278002,2710.8414882337,2750.622476647,2759.955855871,2719.8128722640004,2739.3038460140006,2728.9259418000006,2731.332391321,2751.5789978780003,2763.9519512320003,2322.4286185509,2306.9105605359,2038.5565695729001,1996.3882810189,1870.8883935464,1876.4483692814001,1 (max norm)
03,1780.2336629704,1820.7032041664,1872.3636141569,2043.5752684169001,2042.1102642395,2499.8486953912,2676.4495657055004,2709.3287290225,2729.8658357335003,2743.6103241225,2750.6241806440003,2706.2606483130003,2727.057958312,2733.0475098935003,2732.9700618325005,2741.2116188105,2741.164341048,2291.0989043884,2293.9690534279,2024.1795046844,1985.7002475189001,1862.5087357293999,1856.3255561789,1828.3807442183997,2
04,1846.4639587074,1837.3138422793998,1868.3526634404,2045.4638579239,2029.2622611688003,2472.4573413715,2657.117457395,2693.2651422430004,2708.0460513330004,2714.265836617,2697.771488887,2643.432224555,2662.9302997160003,2655.4373952530004,2659.605204118,2679.4062268610005,2688.752835845,2258.0606403309,2290.2431736649,2039.6560364139,2008.2725048479,1888.7209419664,1881.9229228324,1855.6819217684,1 (max norm)
05,1786.5471426063998,1783.97513229265,1791.84662171415,1982.1639948271502,1985.6730255458003,2438.1272541425,2632.5073998860003,2657.2364847607505,2670.8516159630003,2673.2289050040004,2662.1611052697504,2611.27101470275,2629.7465203610004,2632.71840525,2632.6798218187505,2648.83551171425,2655.471849042,2231.7307839248997,2250.6711509744,2009.8483893634002,1981.80075643815,1865.9591152656499,1869.1544217696498,1846.0331779848998,4
06,1635.6704201164,1635.5642833253999,1635.4914197763999,1814.7825769819,1864.512366421,2354.708357424,2570.6735384440003,2620.763366013,2654.935832601,2675.205910402,2680.907031405,2643.5915102370004,2674.186230951,2678.7084859640004,2684.8973035070003,2705.4202115320004,2709.5488566940003,2089.6651701555,2076.1732341385,1820.2058340586,1781.6105167159,1659.8126354644,1660.1812465894,1635.0739117163998,1 (max norm)
07,1635.9780156994,1636.0743354134,1636.4017346054,1818.2773719399,1902.410333855,2360.901821424,2566.11895221,2615.8279870300003,2649.840728339,2678.772485296,2693.8549217070004,2662.666969677,2700.9189360440005,2714.9253378710005,2731.8613071810005,2758.218958803,2765.214153018,2114.149136701,2092.48002481,1824.4720976129001,1783.1261367668,1659.3893941761,1660.0483311963999,1634.9413974944,1 (max norm)
08,1635.9074997153998,1635.7772792014,1635.9298193553998,1819.4088381129,1899.221022072,2365.793431616,2566.913638389,2619.0895757730004,2659.065310377,2687.099798576,2701.1664183870002,2671.5638453230004,2710.083124906,2727.2655139300005,2741.7298123920004,2764.348768796,2764.385613418,2107.810755033,2093.234602675,1823.0610251150001,1782.4408837413002,1659.9026311896,1660.2308554925999,1634.5919992594,1 (max norm)
09,1859.9723090333998,1856.5814269413997,1854.0104708503998,2034.1241334229,2035.8640019737,2492.620803937,2660.840738146,2677.4831699720003,2684.0878702160003,2681.406875947,2667.772219222,2613.556084201,2630.725972601,2620.499085919,2616.720506599,2631.937428016,2634.040725826,2216.9137429979,2255.5350506749,2014.3547648749,1990.0919286909,1858.1300906694,1845.6155638644,1813.1413542993998,1
10,1862.5384609694,1872.7299965153998,1863.5791512623998,2033.0897911219001,2031.2562137971,2490.298960856,2672.2034825250003,2710.825564008,2735.2126491020003,2747.747211245,2744.3267047900003,2703.222320303,2730.3427293170002,2730.984845152,2726.9855400610004,2733.6365025150003,2723.959355214,2251.7302331939,2236.0167684309,1963.5963455359001,1922.7609785929,1797.6976055874002,1800.3420334593998,1767.1330317214,1
11,1849.2070346353996,1845.8892073753998,1839.9979291454,2018.6737004679,2018.1436956106,2476.1952616309,2661.846246909,2696.707919177,2724.6642716310002,2731.944958298,2712.197692946,2649.906549412,2667.6304180210004,2677.3376212340004,2677.576274133,2699.948268598,2707.0312590900003,2301.1353244649,2281.0737645789,1998.6110973719,1952.0363737019002,1820.6257891544,1815.2490952204,1781.5599989614,1
12,1783.8830959243999,1817.5797482877333,1819.9445400634002,1808.0546875850662,1974.3700094639,1979.7415268104003,2445.4426500576665,2637.5435512157005,2690.5727776196,2718.412616934667,2731.7800994550003,2729.4701943666664,2669.381000272667,2688.5908734220006,2684.2768591470003,2681.416330931667,2696.8232985186664,2717.9365593863336,2296.2962423212334,2294.2463182239,2028.9974512049,1990.3066209278998,1867.8890255963997,1868.294962399733,3
01,1559.0448829664797,1557.0126784661798,1552.06305221768,1547.50617054228,1609.32891561994,1607.45150285284,1861.6207607905199,1938.98116343302,2081.9679848576197,2189.3599370951897,2288.26980181546,2310.30637057922,2299.9418692713098,2304.89356674591,2313.39880920685,2321.82689698709,2315.67057993676,2267.2582302281503,2030.4152920300398,1979.26273529104,1787.79140468564,1712.0589011798402,1622.1812069479797,1603.70375415868
02,1516.65569214315,1506.0754504364,1493.8169803043997,1486.5731492047748,1559.2197787577747,1574.5794815744,1826.0025198708377,1924.7062569278748,2073.4301104283377,2102.353097469475,2154.8545182587377,2174.4400886590247,2157.5116437033125,2166.2893877480374,2179.4930851679,2189.918718211538,2190.5743282031376,2132.9604551245125,1931.475932122025,1911.3109158198997,1759.838010928275,1744.8754877140254,1682.244616741275,1674.0069239200247
03,1753.287704583175,1730.5837746561747,1707.9921190230498,1764.38264932265,1778.2936656394752,1996.1573160784626,2142.4837609455376,2279.9492052547753,2331.470802321737,2356.226665167325,2362.3385607396876,2346.1718666057127,2343.073558174725,2348.1222294406753,2348.452922447675,2344.3264551403877,2306.7057231134627,2111.295564576625,2062.25560590685,1930.302873490475,1868.554873673225,1803.2360276440002,1770.7430464279253,1740.1679112993
04,1754.019619467511,1755.0687963500668,1752.9442799018443,1841.0967606036777,1839.8770024976777,2115.8397953081335,2199.939885273289,2280.4659224589445,2275.814748167433,2283.310208522567,2280.3963294488003,2256.427561701277,2253.5635881883777,2248.3457976366003,2247.861109866278,2243.334617719711,2194.487107667333,1970.7112599874558,1983.0596331132333,1847.1819892082333,1838.897532405789,1781.9486787876222,1785.6208547984,1762.3039204968443
05,1739.2161618080668,1745.8350584486222,1753.157135187622,1852.5496760656777,1854.2609172133443,2116.3628120035114,2182.354722056278,2231.3529777909,2212.163221349778,2218.4058823606556,2213.665179397778,2189.611544410922,2193.7125523523887,2196.3103993645,2197.2230350828336,2191.8679326789443,2138.6773825446667,1894.9985021224554,1886.6239752789002,1753.6368131084555,1751.4161422465668,1694.7485334658445,1712.6544189027331,1700.0596166598443
06,1662.0182020390498,1663.291580820425,1667.8819084571749,1774.2560250066,1771.5444650072627,2058.283498057263,2154.3848304558874,2227.149098126,2228.8592697876247,2249.431845840375,2255.567627883375,2237.260246740625,2243.558464057125,2243.0523309005002,2245.7869385687504,2244.94895332575,2200.20223755705,1909.6385369538625,1902.4819014197,1753.3061343347877,1737.5467535762375,1668.5567130843501,1672.2813794268,1646.9764523230501
07,1624.0019495680997,1621.3466752650002,1618.2925467738999,1715.8390547925999,1715.9921720716497,2009.7688856760003,2130.9034285127,2228.4032339128503,2245.50689103295,2268.71092859425,2278.14176634175,2261.3094121674503,2269.11519041545,2271.97827855599,2273.0135547824298,2271.8694621727,2225.98545011198,1901.0008466210402,1888.79361460877,1737.0163508079902,1717.27025407414,1644.2385572849998,1645.3144494961002,1620.8768473887
08,1610.5015300841749,1613.7364333820499,1615.9555462035498,1714.495299661725,1717.5387156018749,2017.7383990655876,2124.454361608825,2210.800962362125,2224.098250040875,2249.30794272725,2258.69840885425,2241.647830416125,2251.57268920975,2255.8373912228253,2259.1055897381625,2258.3468600393,2211.5444951248496,1893.8947266722,1888.3022843080125,1729.3540285467125,1710.591871756725,1639.6867309878,1638.513201556425,1612.6198992983
09,1763.31879362215,1763.6509577379,1763.2069893172747,1846.5648342452748,1849.467204649875,2106.800986588025,2170.9513096375003,2239.0747651115626,2214.438268951563,2213.6789087649377,2208.5968337144377,2189.8948512131874,2184.1927906121873,2180.6971075346873,2176.9589639524374,2170.2612774313125,2114.1665075575,1922.0364018904,1944.3853478311503,1822.806978902525,1813.3750928699,1758.0927978941497,1765.3871182940252,1743.2270918542747
10,1797.9709855044798,1795.6119013078799,1790.4109521571797,1871.82000360214,1867.5588719397401,2133.50592271029,2198.9391697123297,2283.4720614236103,2268.8119968621804,2259.6405848425798,2244.64142402089,2219.0244188628703,2217.1082612097002,2217.9147971465,2222.4448374671997,2218.7473737151,2168.9575039495403,1981.9128970588397,1997.98656504994,1849.9895456500403,1830.9902784796402,1776.8603462235799,1780.01973518698,1755.59693780088
11,1757.0461860932996,1756.4432185281748,1755.0232153722998,1752.9863729234373,1846.464585991225,1864.6717729594877,2143.6722526615627,2249.528688480875,2316.58651192555,2309.830706879225,2302.376390654075,2292.3435866093623,2260.274238646363,2264.9611265887124,2265.7060226047624,2284.372970210425,2289.1308657018003,2270.8402118205627,2042.9860609368498,2027.6833359171,1865.4116976527253,1838.0356382627126,1766.08432949605,1764.68161979155
12,1456.1508377516002,1436.7557804953776,1417.2049063200443,1388.1478503276,1440.3428981911666,1438.9862479079445,1673.2879924728666,1760.7020513708,1968.8336119741111,2073.396871608367,2150.133575830956,2188.9822588728443,2193.6705146277222,2203.206566426611,2208.4864731431776,2210.9864635421777,2198.7862650172333,2124.984435453856,1865.8812216078336,1783.5402448320554,1586.2273761860554,1532.5479370792773,1461.8676114840446,1452.236791951711
