Month,Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/04  02:00:00,147.21802377565515,140.76554630938375,1.5834109875432787,4.8690664788566895
 01/04  03:00:00,146.2515054444887,142.23035986905867,1.5834109875432787,2.437734587925879
 01/04  04:00:00,150.09043047959372,143.63797741101226,1.5834109875432787,4.869042081222671
 01/04  05:00:00,145.04648264922966,138.59350906007202,1.5834109875432787,4.869562601687025
 01/04  06:00:00,232.99958698459216,226.60406074740527,3.9585274688581964,2.436998768121855
 01/04  07:00:00,171.9756792220202,159.18905654164,7.917054937716393,4.86956774288739
 01/04  08:00:00,165.6054128672542,146.3566096908647,11.875582406574589,7.373220769786951
 01/04  09:00:00,163.62561891561862,140.37972451611782,15.834109875432786,7.411784524012106
 01/04  10:00:00,158.3925569596543,136.59089799150473,11.875582406574589,9.926076561714757
 01/04  11:00:00,163.16082849914199,130.88973020352663,19.79263734429098,12.478460951380278
 01/04  12:00:00,158.87919231906727,126.57993126428657,19.79263734429098,12.506623710377909
 01/04  13:00:00,152.452839939585,122.7126382642085,19.79263734429098,9.947564331225282
 01/04  14:00:00,146.28399900619343,117.94408985204421,15.834109875432786,12.50579927877233
 01/04  15:00:00,136.15377538083547,111.79661261971982,11.875582406574589,12.481580354680805
 01/04  16:00:00,132.57778890494714,106.78266711080538,15.834109875432786,9.961011918792817
 01/04  17:00:00,140.8659578373352,107.20847679081149,23.751164813149177,9.906316233598137
 01/04  18:00:00,142.82133730468874,114.1684343209515,23.751164813149177,4.901738170448291
 01/04  19:00:00,142.46417328124855,113.8285892485622,23.751164813149177,4.884419219732835
 01/04  20:00:00,136.96512061374438,116.24687803899695,15.834109875432786,4.88413269923077
 01/04  21:00:00,148.9761154225225,128.2575686091436,15.834109875432786,4.884436937806368
 01/04  22:00:00,146.96967362481425,130.2226530089547,11.875582406574589,4.871438209257009
 01/04  23:00:00,148.6705115711161,135.8838830274413,7.917054937716393,4.869573605958384
 01/04  24:00:00,147.00004046172197,138.17225130534592,3.9585274688581964,4.8692616877414725
 01/05  01:00:00,144.01145123132648,139.9901651062172,1.5834109875432787,2.437875137728095
 01/05  02:00:00,148.2444150556403,141.7916843244475,1.5834109875432787,4.869319743610398
 01/05  03:00:00,149.75217262811447,143.29888942256383,1.5834109875432787,4.869872217884352
 01/05  04:00:00,149.8769372465436,145.85621082344323,1.5834109875432787,2.437315435403352
 01/05  05:00:00,149.69280262675954,143.23953578286446,1.5834109875432787,4.869855856480367
 01/05  06:00:00,237.8040843453425,228.97532232985785,3.9585274688581964,4.870234546654418
 01/05  07:00:00,175.0004705488026,162.2141334331762,7.917054937716393,4.869282178049796
 01/05  08:00:00,163.24769051033067,146.45422549674373,11.875582406574589,4.917882606816706
 01/05  09:00:00,161.0697840659332,135.3514290749748,15.834109875432786,9.884245115721264
 01/05  10:00:00,152.09153022108126,130.29364867769178,11.875582406574589,9.922299136731022
 01/05  11:00:00,153.78891706504507,122.69085725343359,19.79263734429098,11.305422467320469
 01/05  12:00:00,146.9182953711674,115.94212153764524,19.79263734429098,11.183536489147338
 01/05  13:00:00,142.83901165480322,110.60875864179437,19.79263734429098,12.437615668829674
 01/05  14:00:00,132.24855813053568,106.40953489700397,15.834109875432786,10.004913358154822
 01/05  15:00:00,124.87513409950537,100.51931601328371,11.875582406574589,12.480235679702973
 01/05  16:00:00,124.10251896567082,97.11764466853488,15.834109875432786,11.150764421787006
