Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 12/21  24:00:00,1006.04476499,96.1775156129,605.585575661,0.0,46.0930336215,124.558693486,476.593646532,445.015661596,14.1616749024,17.4163100339
 12/22  01:00:00,996.687458694,96.1775156129,608.397731028,0.0,46.0930336215,113.312780494,472.354235619,449.273053579,5.66466996096,17.4165120782
 12/22  02:00:00,999.247364709,96.1775156129,610.571865854,0.0,46.0930336215,113.312780494,468.157483027,453.775559536,5.66466996096,8.71725353029
 12/22  03:00:00,1001.31422429,96.1775156129,612.278966612,0.0,46.0930336215,113.312780494,480.84299125,457.761317535,5.66466996096,17.4170037533
 12/22  04:00:00,997.360962281,96.1775156129,609.203104021,0.0,46.0930336215,113.312780494,484.938979555,461.858936924,5.66466996096,17.4153726707
 12/22  05:00:00,1081.56712038,96.1775156129,601.275011903,0.0,100.150657288,148.969399434,459.760972379,445.378885725,5.66466996096,8.71741669316
 12/22  06:00:00,1079.30701668,96.6765906308,597.52739476,0.0,100.150657288,149.894399434,702.460607376,670.881377697,14.1616749024,17.4175547764
 12/22  07:00:00,1309.05139674,98.7778160008,597.070211185,0.0,176.471037341,302.612436532,530.798313546,485.057693062,28.3233498048,17.4172706796
 12/22  08:00:00,1416.87113508,100.413566393,596.24631652,0.0,243.2593065,310.10971186,511.853862507,443.005335327,42.4850247072,26.3635024736
 12/22  09:00:00,1460.62345714,100.987437091,597.697313446,0.0,243.2593065,310.10971186,507.861450122,424.71062447,56.6466996096,26.5041260425
 12/22  10:00:00,1492.68399318,101.438103546,595.090016357,0.0,243.2593065,302.612436532,490.338247077,412.380838429,42.4850247072,35.4723839398
 12/22  11:00:00,1489.65675216,101.792139923,583.247467764,0.0,243.2593065,310.10971186,503.032878765,396.531786266,70.808374512,35.6927179867
 12/22  12:00:00,1484.11107874,102.125543243,575.491816134,0.0,243.2593065,310.10971186,501.836919852,386.330338297,70.808374512,44.6982070429
 12/22  13:00:00,1433.36873954,102.422150105,565.526373707,0.0,243.2593065,310.10971186,484.671579828,378.292859255,70.808374512,35.570346061
 12/22  14:00:00,1461.52598873,102.678280787,559.777713314,0.0,243.2593065,302.612436532,473.434249435,372.093051516,56.6466996096,44.6944983086
 12/22  15:00:00,1455.36856151,102.913115399,552.819994658,0.0,243.2593065,302.612436532,452.43486579,365.337137814,42.4850247072,44.6127032685
 12/22  16:00:00,1452.57006086,103.19743356,549.51451677,0.0,243.2593065,302.612436532,455.48097003,363.22702103,56.6466996096,35.6072493904
 12/22  17:00:00,1464.82823823,103.519469599,550.97276505,0.0,243.2593065,310.10971186,485.969287307,365.585112755,84.9700494144,35.414125137
 12/22  18:00:00,1483.13779948,103.841893857,557.784917807,0.0,243.2593065,310.10971186,472.959537898,370.4586815,84.9700494144,17.5308069836
 12/22  19:00:00,1230.55013601,96.1775156129,579.271496787,0.0,166.938926447,199.110933808,474.74009735,372.304714899,84.9700494144,17.4653330361
 12/22  20:00:00,1228.94323227,96.1775156129,585.46255802,0.0,166.938926447,191.61365848,452.360379531,378.249897516,56.6466996096,17.4637824051
 12/22  21:00:00,1097.44550612,96.1775156129,588.020870979,0.0,100.150657288,124.558693486,493.029605444,418.916904763,56.6466996096,17.4660010716
 12/22  22:00:00,1055.91984744,96.1775156129,585.724702243,0.0,100.150657288,124.558693486,485.321902975,425.415625644,42.4850247072,17.4212526232
 12/22  23:00:00,988.552080996,96.1775156129,585.420480933,0.0,46.0930336215,124.558693486,488.723335028,442.985942028,28.3233498048,17.414043195
 12/22  24:00:00,988.074000865,96.1775156129,583.995469995,0.0,46.0930336215,124.558693486,470.283940522,447.404060061,14.1616749024,8.71820555836
 12/23  01:00:00,971.12645179,96.1775156129,579.184947,0.0,46.0930336215,113.312780494,472.751589882,449.669060223,5.66466996096,17.4178596988
 12/23  02:00:00,965.069805146,96.1775156129,572.731672995,0.0,46.0930336215,113.312780494,473.941433905,450.861986789,5.66466996096,17.4147771557
 12/23  03:00:00,958.634715319,96.1775156129,565.869167707,0.0,46.0930336215,113.312780494,465.742039652,451.358740277,5.66466996096,8.71862941374
 12/23  04:00:00,955.681675438,96.1775156129,562.714159073,0.0,46.0930336215,113.312780494,475.331395835,452.249871328,5.66466996096,17.4168545467
 12/23  05:00:00,961.280978901,96.1775156129,557.762550977,0.0,55.6251445156,113.312780494,464.063617663,440.98373006,5.66466996096,17.4152176416
 12/23  06:00:00,954.213166093,96.1775156129,550.250169469,0.0,55.6251445156,113.312780494,461.233360235,438.352828542,14.1616749024,8.71885679055
 12/23  07:00:00,1024.50095745,96.1775156129,547.269548072,0.0,65.1572554096,176.889270242,422.642406513,376.905328619,28.3233498048,17.4137280887
 12/23  08:00:00,1120.79800342,96.4721841179,536.43428692,0.0,109.682768182,220.96816451,655.565201003,595.664533163,42.4850247072,17.4156431323
 12/23  09:00:00,1128.60614441,96.4711869631,534.050593987,0.0,109.682768182,220.96816451,572.004658757,497.850075591,56.6466996096,17.5078835567
 12/23  10:00:00,1235.89147274,97.1119566617,533.302428299,0.0,131.945524568,266.955817592,531.782516688,462.91990465,42.4850247072,26.3775873311
 12/23  11:00:00,1242.84041873,97.3153394783,532.55368497,0.0,131.945524568,274.45309292,544.060683724,446.748236747,70.808374512,26.5040724646
 12/23  12:00:00,1240.10338826,97.4347248909,528.363513244,0.0,131.945524568,274.45309292,541.04223349,434.90893547,70.808374512,35.3249235075
