Location,BNMC,,,,
Address,"666 N Oak St, Buffalo NY 14203",,,,
Opt. tilt,32 deg,accurate to 0.25 deg,,,
Opt. azimuth,178.25 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Jan 12, 02:00 am",0,0,-5.6,0,14.4
"Jan 12, 03:00 am",0,0,-6.7,0,12.9
"Jan 12, 04:00 am",0,0,-7.2,0,13.9
"Jan 12, 05:00 am",0,0,-7.2,0,14.4
"Jan 12, 06:00 am",0,0,-8.3,0,10.8
"Jan 12, 07:00 am",10.1175,6,-9.4,72.1782,12.9
"Jan 12, 08:00 am",140.944,58,-11.1,64.9013,13.4
"Jan 12, 09:00 am",427.99,190,-10,52.7747,13.4
"Jan 12, 10:00 am",663.181,323,-8.9,42.2144,12.4
"Jan 12, 11:00 am",756.47,385,-7.8,34.7825,12.9
"Jan 12, 12:00 pm",788.071,412,-7.2,32.7109,12.9
"Jan 12, 01:00 pm",792.067,405,-6.1,36.9175,11.3
"Jan 12, 02:00 pm",607.925,295,-5.6,45.6947,11.3
"Jan 12, 03:00 pm",435.434,182,-6.1,56.9497,10.8
"Jan 12, 04:00 pm",154.303,47,-6.7,68.9992,9.8
"Jan 12, 05:00 pm",0,0,-7.8,0,9.8
"Jan 12, 06:00 pm",0,0,-7.8,0,8.8
"Jan 12, 07:00 pm",0,0,-7.8,0,6.2
"Jan 12, 08:00 pm",0,0,-7.8,0,6.2
"Jan 12, 09:00 pm",0,0,-8.3,0,8.2
"Jan 12, 10:00 pm",0,0,-7.8,0,5.2
"Jan 12, 11:00 pm",0,0,-8.3,0,4.1
"Jan 13, 12:00 am",0,0,-8.3,0,3.6
"Jan 13, 01:00 am",0,0,-8.3,0,3.6
"Jan 13, 02:00 am",0,0,-8.3,0,3.6
"Jan 13, 03:00 am",0,0,-7.8,0,3.1
"Jan 13, 04:00 am",0,0,-7.8,0,4.1
"Jan 13, 05:00 am",0,0,-7.8,0,4.1
"Jan 13, 06:00 am",0,0,-7.8,0,5.2
"Jan 13, 07:00 am",7.05871,5,-7.8,72.2524,4.6
"Jan 13, 08:00 am",47.1618,38,-6.7,64.9172,6.2
"Jan 13, 09:00 am",271.545,149,-5.6,52.7581,6.2
"Jan 13, 10:00 am",283.108,203,-2.8,42.1531,3.6
"Jan 13, 11:00 am",291.435,214,-0.6,34.663,8.2
"Jan 13, 12:00 pm",393.853,279,-0.6,32.5397,5.2
"Jan 13, 01:00 pm",239.352,192,2.2,36.7305,3.6
"Jan 13, 02:00 pm",388.7,229,2.8,45.5183,5.7
"Jan 13, 03:00 pm",198.434,139,2.8,56.7909,5.7
"Jan 13, 04:00 pm",36.0495,29,2.8,68.982,5.2
"Jan 13, 05:00 pm",0,0,2.2,0,7.2
"Jan 13, 06:00 pm",0,0,2.2,0,7.2
"Jan 13, 07:00 pm",0,0,1.7,0,7.2
"Jan 13, 08:00 pm",0,0,2.2,0,4.6
"Jan 13, 09:00 pm",0,0,2.8,0,8.2
"Jan 13, 10:00 pm",0,0,2.8,0,7.7
"Jan 13, 11:00 pm",0,0,3.9,0,8.8
"Jan 14, 12:00 am",0,0,3.9,0,8.8
"Jan 14, 01:00 am",0,0,3.3,0,7.7
"Jan 14, 02:00 am",0,0,4.4,0,8.8
"Jan 14, 03:00 am",0,0,4.4,0,7.7
"Jan 14, 04:00 am",0,0,3.3,0,7.7
"Jan 14, 05:00 am",0,0,3.3,0,6.7
"Jan 14, 06:00 am",0,0,3.3,0,6.7
"Jan 14, 07:00 am",0,0,3.3,72.3273,6.2
"Jan 14, 08:00 am",35.5684,31,3.9,64.9286,4.6
"Jan 14, 09:00 am",104.514,101,3.9,52.7364,5.7
"Jan 14, 10:00 am",115.558,117,4.4,42.0859,5.7
"Jan 14, 11:00 am",187.108,181,4.4,34.5367,4.6
"Jan 14, 12:00 pm",149.182,152,4.4,32.3619,5.7
"Jan 14, 01:00 pm",146.945,148,3.9,36.5386,5.2
"Jan 14, 02:00 pm",155.606,150,3.9,45.3389,3.1
"Jan 14, 03:00 pm",74.6274,76,3.3,56.6307,2.1
"Jan 14, 04:00 pm",13.422,15,3.3,68.9668,1.5
"Jan 14, 05:00 pm",0,0,2.8,0,3.1
"Jan 14, 06:00 pm",0,0,2.2,0,2.1
"Jan 14, 07:00 pm",0,0,2.2,0,2.6
"Jan 14, 08:00 pm",0,0,2.2,0,2.6
"Jan 14, 09:00 pm",0,0,1.7,0,2.1
"Jan 14, 10:00 pm",0,0,1.7,0,2.6
"Jan 14, 11:00 pm",0,0,1.7,0,3.1
"Jan 15, 12:00 am",0,0,1.7,0,2.6
"Jan 15, 01:00 am",0,0,1.7,0,3.1
"Jan 15, 02:00 am",0,0,1.7,0,3.1
"Jan 15, 03:00 am",0,0,1.7,0,2.1
"Jan 15, 04:00 am",0,0,1.1,0,3.1
"Jan 15, 05:00 am",0,0,0.6,0,3.6
"Jan 15, 06:00 am",0,0,0.6,0,3.6
"Jan 15, 07:00 am",2.77207,3,1.1,72.4028,3.6
"Jan 15, 08:00 am",68.8783,41,0.6,64.9355,3.6
"Jan 15, 09:00 am",332.194,168,2.2,52.7094,4.1
"Jan 15, 10:00 am",491.823,267,2.8,42.0128,5.2
"Jan 15, 11:00 am",703.578,390,4.4,34.4039,6.2
"Jan 15, 12:00 pm",733.869,394,4.4,32.1778,6.2
"Jan 15, 01:00 pm",712.492,372,5,36.3419,6.2
"Jan 15, 02:00 pm",585.154,291,5.6,45.1568,6.2
"Jan 15, 03:00 pm",389.225,169,5,56.4692,4.6
"Jan 15, 04:00 pm",115.316,42,3.9,68.9538,4.1
"Jan 15, 05:00 pm",0,0,1.1,0,5.2
"Jan 15, 06:00 pm",0,0,0,0,5.2
