Location,UMMC,,,,
Address,Jackson MS Int Airport,,,,
Opt. tilt,29.25 deg,accurate to 0.25 deg,,,
Opt. azimuth,180.75 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Feb 25, 02:00 am",0,0,5,0,1.5
"Feb 25, 03:00 am",0,0,4.4,0,0
"Feb 25, 04:00 am",0,0,4.4,0,0
"Feb 25, 05:00 am",0,0,3.9,0,0
"Feb 25, 06:00 am",20.3584,20,3.3,82.0642,0
"Feb 25, 07:00 am",114.504,87,7.8,71.9244,0
"Feb 25, 08:00 am",293.17,237,15,57.2798,3.1
"Feb 25, 09:00 am",427.229,370,20,42.7877,1.5
"Feb 25, 10:00 am",662.605,521,23.3,28.7457,1.5
"Feb 25, 11:00 am",674.829,557,25,16.3835,2.1
"Feb 25, 12:00 pm",745.391,588,25.6,12.5454,2.6
"Feb 25, 01:00 pm",455.998,419,25.6,22.2099,1.5
"Feb 25, 02:00 pm",437.827,379,25,35.7213,3.1
"Feb 25, 03:00 pm",499.735,376,25,50.0514,3.1
"Feb 25, 04:00 pm",309.776,213,25,64.6453,5.7
"Feb 25, 05:00 pm",78.6812,52,20.6,78.1332,4.1
"Feb 25, 06:00 pm",0,0,16.1,0,3.1
"Feb 25, 07:00 pm",0,0,12.8,0,1.5
"Feb 25, 08:00 pm",0,0,10.6,0,2.1
"Feb 25, 09:00 pm",0,0,10,0,0
"Feb 25, 10:00 pm",0,0,8.9,0,1.5
"Feb 25, 11:00 pm",0,0,7.2,0,2.1
"Feb 26, 12:00 am",0,0,6.7,0,3.1
"Feb 26, 01:00 am",0,0,6.7,0,2.6
"Feb 26, 02:00 am",0,0,5.6,0,1.5
"Feb 26, 03:00 am",0,0,5,0,1.5
"Feb 26, 04:00 am",0,0,4.4,0,1.5
"Feb 26, 05:00 am",0,0,4.4,0,0
"Feb 26, 06:00 am",22.3385,18,3.9,82.1426,1.5
"Feb 26, 07:00 am",217.387,140,7.8,71.8453,0
"Feb 26, 08:00 am",499.33,356,15,57.1786,2.1
"Feb 26, 09:00 am",738.504,552,19.4,42.656,2.1
"Feb 26, 10:00 am",926.517,705,21.7,28.5606,2.6
"Feb 26, 11:00 am",1033.41,792,23.3,16.0856,2.6
"Feb 26, 12:00 pm",1048.38,804,25,12.2027,2.1
"Feb 26, 01:00 pm",985.677,751,25,22.051,5.2
"Feb 26, 02:00 pm",756.439,566,25.6,35.6467,2.6
"Feb 26, 03:00 pm",613.879,447,26.1,50.0182,3.1
"Feb 26, 04:00 pm",341.404,233,25,64.6378,3.1
"Feb 26, 05:00 pm",76.4094,49,21.1,78.2435,1.5
"Feb 26, 06:00 pm",0,0,15,0,0
"Feb 26, 07:00 pm",0,0,12.8,0,2.1
"Feb 26, 08:00 pm",0,0,12.8,0,3.1
"Feb 26, 09:00 pm",0,0,10,0,0
"Feb 26, 10:00 pm",0,0,9.4,0,1.5
"Feb 26, 11:00 pm",0,0,9.4,0,3.1
"Feb 27, 12:00 am",0,0,10,0,3.1
"Feb 27, 01:00 am",0,0,9.4,0,3.1
"Feb 27, 02:00 am",0,0,10,0,2.6
"Feb 27, 03:00 am",0,0,9.4,0,2.1
"Feb 27, 04:00 am",0,0,8.9,0,1.5
"Feb 27, 05:00 am",0,0,8.9,0,2.1
"Feb 27, 06:00 am",19.2634,20,7.2,82.2203,2.1
"Feb 27, 07:00 am",113.098,97,12.2,71.7642,2.1
"Feb 27, 08:00 am",464.858,340,16.7,57.0763,2.1
"Feb 27, 09:00 am",706.654,530,20.6,42.5238,0
"Feb 27, 10:00 am",936.906,713,24.4,28.3761,4.1
"Feb 27, 11:00 am",1032.11,791,25.6,15.7878,5.2
"Feb 27, 12:00 pm",1060.17,813,27.2,11.8608,4.6
"Feb 27, 01:00 pm",985.999,751,27.8,21.8981,5.7
"Feb 27, 02:00 pm",782.265,592,27.8,35.5771,5.2
"Feb 27, 03:00 pm",449.892,343,27.2,49.9889,5.7
"Feb 27, 04:00 pm",335.648,236,26.1,64.6336,5.2
"Feb 27, 05:00 pm",55.5536,46,22.2,78.356,3.6
"Feb 27, 06:00 pm",0,0,18.9,0,3.1
"Feb 27, 07:00 pm",0,0,17.2,0,4.1
"Feb 27, 08:00 pm",0,0,18.3,0,4.6
"Feb 27, 09:00 pm",0,0,16.1,0,4.6
"Feb 27, 10:00 pm",0,0,16.1,0,4.1
"Feb 27, 11:00 pm",0,0,16.7,0,5.2
"Feb 28, 12:00 am",0,0,16.1,0,3.1
"Feb 28, 01:00 am",0,0,15.6,0,3.6
"Feb 28, 02:00 am",0,0,15,0,3.1
"Feb 28, 03:00 am",0,0,13.3,0,3.6
"Feb 28, 04:00 am",0,0,12.2,0,3.1
"Feb 28, 05:00 am",0,0,14.4,0,4.6
"Feb 28, 06:00 am",14.9756,17,13.3,82.2974,4.6
"Feb 28, 07:00 am",46.7772,50,15.6,71.6814,4.1
"Feb 28, 08:00 am",387.88,295,19.4,56.9729,5.7
"Feb 28, 09:00 am",648.596,492,21.1,42.3914,6.7
"Feb 28, 10:00 am",363.491,341,23.9,28.1921,7.2
"Feb 28, 11:00 am",434.819,384,25,15.4904,7.2
"Feb 28, 12:00 pm",671.267,538,26.7,11.52,5.7
"Feb 28, 01:00 pm",783.117,621,27.2,21.7514,6.7
"Feb 28, 02:00 pm",297.227,300,27.2,35.5124,5.7
"Feb 28, 03:00 pm",200.794,205,25.6,49.9636,4.6
"Feb 28, 04:00 pm",124.984,128,25,64.6325,4.6
"Feb 28, 05:00 pm",23.1539,25,22.8,78.4705,3.1
"Feb 28, 06:00 pm",0,0,22.2,0,2.1
"Feb 28, 07:00 pm",0,0,18.3,0,0
"Feb 28, 08:00 pm",0,0,16.7,0,3.6
"Feb 28, 09:00 pm",0,0,16.3,0,3.4
"Feb 28, 10:00 pm",0,0,15.9,0,3.2
"Feb 28, 11:00 pm",0,0,15.5,0,3
"Mar 1, 12:00 am",0,0,15.1,0,2.7
"Mar 1, 01:00 am",0,0,14.7,0,2.5
"Mar 1, 02:00 am",0,0,14.3,0,2.3
"Mar 1, 03:00 am",0,0,13.9,0,2.1
"Mar 1, 04:00 am",0,0,14.4,0,2.1
"Mar 1, 05:00 am",0,0,14.4,0,0
"Mar 1, 06:00 am",7.90383,8,14.4,82.3588,0
"Mar 1, 07:00 am",43.5258,47,15,71.6097,1.5
"Mar 1, 08:00 am",156.708,163,12.8,56.8848,3.1
"Mar 1, 09:00 am",288.248,293,12.2,42.2801,3.1
"Mar 1, 10:00 am",288.93,297,12.2,28.0397,4.1
"Mar 1, 11:00 am",190.877,202,12.2,15.2454,3.1
"Mar 1, 12:00 pm",211.727,223,12.8,11.2432,3.6
"Mar 1, 01:00 pm",303.938,313,12.2,21.6386,4.6
"Mar 1, 02:00 pm",166.197,177,11.7,35.4659,5.2
"Mar 1, 03:00 pm",122.521,131,11.1,49.9485,5.2
"Mar 1, 04:00 pm",73.2185,79,10,64.6366,5.2
"Mar 1, 05:00 pm",20.9184,23,9.4,78.5669,4.1
"Mar 1, 06:00 pm",0,0,9.4,0,3.1
"Mar 1, 07:00 pm",0,0,9.4,0,3.6
"Mar 1, 08:00 pm",0,0,8.9,0,3.1
"Mar 1, 09:00 pm",0,0,9.4,0,5.2
"Mar 1, 10:00 pm",0,0,8.9,0,5.2
"Mar 1, 11:00 pm",0,0,8.9,0,2.6
"Mar 2, 12:00 am",0,0,9.4,0,3.1
"Mar 2, 01:00 am",0,0,10.6,0,4.6
"Mar 2, 02:00 am",0,0,10.6,0,5.7
"Mar 2, 03:00 am",0,0,8.9,0,5.7
"Mar 2, 04:00 am",0,0,7.8,0,4.6
"Mar 2, 05:00 am",0,0,7.2,0,4.1
"Mar 2, 06:00 am",16.4805,18,6.7,82.4349,5.7
"Mar 2, 07:00 am",48.017,52,6.1,71.524,4.6
"Mar 2, 08:00 am",109.095,117,6.1,56.7798,4.1
"Mar 2, 09:00 am",268.138,276,6.7,42.1476,4.6
"Mar 2, 10:00 am",186.19,198,6.7,27.8576,4.6
"Mar 2, 11:00 am",215.644,228,6.7,14.9495,3.6
"Mar 2, 12:00 pm",212.633,224,7.2,10.9056,3.6
"Mar 2, 01:00 pm",382.477,388,7.2,21.5039,4.6
"Mar 2, 02:00 pm",310.118,316,6.7,35.4104,4.1
"Mar 2, 03:00 pm",229.794,235,7.2,49.9303,4.6
"Mar 2, 04:00 pm",143.44,146,7.2,64.6412,3.6
"Mar 2, 05:00 pm",40.1085,41,7.8,78.6849,3.6
"Mar 2, 06:00 pm",0,0,7.8,0,3.1
"Mar 2, 07:00 pm",0,0,8.3,0,3.6
"Mar 2, 08:00 pm",0,0,8.3,0,3.1
"Mar 2, 09:00 pm",0,0,8.3,0,2.6
"Mar 2, 10:00 pm",0,0,6.7,0,1.5
"Mar 2, 11:00 pm",0,0,5,0,1.5
"Mar 3, 12:00 am",0,0,4.4,0,2.1
"Mar 3, 01:00 am",0,0,3.9,0,0
"Mar 3, 02:00 am",0,0,1.7,0,1.5
"Mar 3, 03:00 am",0,0,1.1,0,2.1
"Mar 3, 04:00 am",0,0,0.6,0,0
"Mar 3, 05:00 am",0,0,0,0,1.5
"Mar 3, 06:00 am",26.7645,24,0,82.5104,2.1
"Mar 3, 07:00 am",222.42,154,4.4,71.4369,0
"Mar 3, 08:00 am",458.323,345,10.6,56.674,5.2
"Mar 3, 09:00 am",692.652,535,12.2,42.0151,3.6
"Mar 3, 10:00 am",854.297,664,13.9,27.6768,3.6
"Mar 3, 11:00 am",949.997,741,15.6,14.655,3.1
"Mar 3, 12:00 pm",982.626,768,16.7,10.5705,3.1
"Mar 3, 01:00 pm",976.884,758,17.2,21.3761,5.7
"Mar 3, 02:00 pm",822.306,631,17.8,35.3601,4.6
"Mar 3, 03:00 pm",587.219,439,17.2,49.9161,4.1
"Mar 3, 04:00 pm",336.152,238,16.1,64.6488,5.7
"Mar 3, 05:00 pm",88.879,56,13.9,78.8047,2.6
"Mar 3, 06:00 pm",0,0,12.2,0,2.6
"Mar 3, 07:00 pm",0,0,7.2,0,0
"Mar 3, 08:00 pm",0,0,5.6,0,0
"Mar 3, 09:00 pm",0,0,5,0,0
"Mar 3, 10:00 pm",0,0,3.9,0,0
"Mar 3, 11:00 pm",0,0,3.3,0,0
"Mar 4, 12:00 am",0,0,2.8,0,2.1
"Mar 4, 01:00 am",0,0,2.2,0,1.5
"Mar 4, 02:00 am",0,0,2.2,0,0
"Mar 4, 03:00 am",0,0,1.1,0,2.1
"Mar 4, 04:00 am",0,0,1.1,0,0
"Mar 4, 05:00 am",0,0,0.6,0,0
"Mar 4, 06:00 am",33.2926,29,1.1,82.5854,1.5
"Mar 4, 07:00 am",247.583,171,5.6,71.3483,0
"Mar 4, 08:00 am",522.658,391,10,56.5675,1.5
"Mar 4, 09:00 am",770.433,593,14.4,41.8829,2.1
"Mar 4, 10:00 am",946.047,738,16.7,27.4974,2.6
"Mar 4, 11:00 am",1057.42,828,17.2,14.3622,3.1
"Mar 4, 12:00 pm",1079.64,846,17.8,10.2384,3.6
"Mar 4, 01:00 pm",1012.37,789,18.9,21.2554,4.6
"Mar 4, 02:00 pm",646.178,517,19.4,35.3149,3.1
"Mar 4, 03:00 pm",600.066,451,18.9,49.9057,4.6
"Mar 4, 04:00 pm",320.794,234,18.3,64.6595,3.1
"Mar 4, 05:00 pm",86.8958,60,15.6,78.9264,2.1
"Mar 4, 06:00 pm",0,0,11.1,0,0
"Mar 4, 07:00 pm",0,0,8.3,0,0
"Mar 4, 08:00 pm",0,0,7.8,0,0
"Mar 4, 09:00 pm",0,0,6.7,0,2.1
"Mar 4, 10:00 pm",0,0,6.7,0,1.5
"Mar 4, 11:00 pm",0,0,6.7,0,0
"Mar 5, 12:00 am",0,0,5,0,0
"Mar 5, 01:00 am",0,0,3.9,0,0
"Mar 5, 02:00 am",0,0,3.9,0,0
"Mar 5, 03:00 am",0,0,3.3,0,0
"Mar 5, 04:00 am",0,0,2.8,0,0
"Mar 5, 05:00 am",0,0,2.8,0,0
"Mar 5, 06:00 am",29.7804,26,2.8,82.6598,0
"Mar 5, 07:00 am",235.61,167,8.3,71.2585,0
"Mar 5, 08:00 am",504.107,381,13.3,56.4605,2.6
"Mar 5, 09:00 am",761.143,588,17.2,41.751,2.6
"Mar 5, 10:00 am",944.021,742,19.4,27.3197,4.1
"Mar 5, 11:00 am",999.772,790,20.6,14.0715,4.6
"Mar 5, 12:00 pm",994.273,783,21.7,9.90974,2.1
"Mar 5, 01:00 pm",950.282,747,22.2,21.142,2.6
"Mar 5, 02:00 pm",788.243,620,22.2,35.2749,4.6
"Mar 5, 03:00 pm",364.211,321,21.1,49.8993,1.5
"Mar 5, 04:00 pm",247.095,202,21.1,64.6731,5.2
"Mar 5, 05:00 pm",59.1201,51,18.3,79.0498,2.6
"Mar 5, 06:00 pm",0,0,13.3,0,2.6
"Mar 5, 07:00 pm",0,0,10.6,0,2.1
"Mar 5, 08:00 pm",0,0,11.1,0,2.6
"Mar 5, 09:00 pm",0,0,12.2,0,1.5
"Mar 5, 10:00 pm",0,0,12.8,0,2.6
"Mar 5, 11:00 pm",0,0,11.7,0,2.1
"Mar 6, 12:00 am",0,0,10,0,2.1
"Mar 6, 01:00 am",0,0,8.9,0,0
"Mar 6, 02:00 am",0,0,7.2,0,0
"Mar 6, 03:00 am",0,0,6.7,0,0
"Mar 6, 04:00 am",0,0,7.8,0,2.1
"Mar 6, 05:00 am",0,0,8.9,0,2.1
"Mar 6, 06:00 am",13.0991,15,8.9,82.7338,2.1
"Mar 6, 07:00 am",64.4459,70,10.6,71.1675,1.5
"Mar 6, 08:00 am",157.893,166,13.3,56.3532,2.1
"Mar 6, 09:00 am",431.381,382,16.7,41.6197,4.6
"Mar 6, 10:00 am",359.567,327,18.3,27.144,5.2
"Mar 6, 11:00 am",642.778,526,20.6,13.7833,6.2
"Mar 6, 12:00 pm",632.343,536,21.7,9.58526,6.7
"Mar 6, 01:00 pm",603.986,507,22.8,21.036,5.7
"Mar 6, 02:00 pm",631.783,516,22.2,35.2402,6.2
"Mar 6, 03:00 pm",533.466,416,23.9,49.8966,4.6
"Mar 6, 04:00 pm",274.864,214,22.8,64.6897,5.2
"Mar 6, 05:00 pm",50.4778,44,20,79.1749,3.6
"Mar 6, 06:00 pm",0,0,17.2,0,1.5
"Mar 6, 07:00 pm",0,0,13.9,0,2.6
"Mar 6, 08:00 pm",0,0,15.6,0,3.1
"Mar 6, 09:00 pm",0,0,16.7,0,3.6
"Mar 6, 10:00 pm",0,0,14.4,0,3.1
"Mar 6, 11:00 pm",0,0,13.9,0,2.6
"Mar 7, 12:00 am",0,0,15.6,0,4.1
"Mar 7, 01:00 am",0,0,13.3,0,3.1
"Mar 7, 02:00 am",0,0,13.3,0,3.6
"Mar 7, 03:00 am",0,0,13.9,0,2.6
"Mar 7, 04:00 am",0,0,14.4,0,2.1
"Mar 7, 05:00 am",0,0,13.9,0,2.1
"Mar 7, 06:00 am",10.3584,12,14.4,82.8073,5.2
"Mar 7, 07:00 am",104.648,96,16.7,71.0754,4.1
"Mar 7, 08:00 am",346.665,290,19.4,56.2455,6.2
"Mar 7, 09:00 am",636.46,519,21.7,41.4892,6.7
"Mar 7, 10:00 am",488.888,442,22.2,26.9703,7.7
"Mar 7, 11:00 am",449.589,408,22.8,13.498,7.2
"Mar 7, 12:00 pm",212.213,223,23.9,9.26563,7.7
"Mar 7, 01:00 pm",400.048,406,24.4,20.9377,6.7
"Mar 7, 02:00 pm",236.304,247,25.6,35.2106,8.2
"Mar 7, 03:00 pm",399.18,352,25,49.8978,4.6
"Mar 7, 04:00 pm",52.8454,59,23.9,64.7091,6.2
"Mar 7, 05:00 pm",27.1276,30,22.8,79.3016,5.2
"Mar 7, 06:00 pm",0,0,22.2,0,5.2
"Mar 7, 07:00 pm",0,0,21.1,0,5.2
"Mar 7, 08:00 pm",0,0,20.6,0,5.2
"Mar 7, 09:00 pm",0,0,19.4,0,6.2
"Mar 7, 10:00 pm",0,0,18.9,0,7.7
"Mar 7, 11:00 pm",0,0,18.9,0,7.2
"Mar 8, 12:00 am",0,0,17.8,0,6.2
"Mar 8, 01:00 am",0,0,18.3,0,8.8
"Mar 8, 02:00 am",0,0,17.8,0,9.3
"Mar 8, 03:00 am",0,0,17.2,0,8.8
"Mar 8, 04:00 am",0,0,17.2,0,8.2
"Mar 8, 05:00 am",0,0,17.2,0,8.8
"Mar 8, 06:00 am",16.7448,19,17.2,82.8803,7.7
"Mar 8, 07:00 am",83.8631,89,17.2,70.9824,6.7
"Mar 8, 08:00 am",207.338,201,18.3,56.1377,9.3
"Mar 8, 09:00 am",314.652,301,19.4,41.3594,9.3
"Mar 8, 10:00 am",390.057,372,21.7,26.799,7.7
"Mar 8, 11:00 am",459.97,416,21.7,13.2161,8.2
"Mar 8, 12:00 pm",312.316,321,22.2,8.95163,6.7
"Mar 8, 01:00 pm",319.629,329,21.7,20.8472,6.2
"Mar 8, 02:00 pm",257.759,268,21.1,35.1862,7.7
"Mar 8, 03:00 pm",166.691,174,22.8,49.9028,7.2
"Mar 8, 04:00 pm",77.1069,83,21.7,64.7314,6.2
"Mar 8, 05:00 pm",49.8079,48,20.6,79.4298,6.7
"Mar 8, 06:00 pm",0,0,20,0,5.2
"Mar 8, 07:00 pm",0,0,19.4,0,4.1
"Mar 8, 08:00 pm",0,0,19.4,0,5.7
"Mar 8, 09:00 pm",0,0,19.4,0,6.2
"Mar 8, 10:00 pm",0,0,19.4,0,5.2
"Mar 8, 11:00 pm",0,0,18.9,0,6.7
"Mar 9, 12:00 am",0,0,18.3,0,5.7
"Mar 9, 01:00 am",0,0,18.9,0,5.2
"Mar 9, 02:00 am",0,0,18.9,0,4.6
"Mar 9, 03:00 am",0,0,18.3,0,4.6
"Mar 9, 04:00 am",0,0,18.3,0,4.1
"Mar 9, 05:00 am",0,0,18.9,0,2.6
"Mar 9, 06:00 am",12.837,14,18.3,82.9529,3.1
"Mar 9, 07:00 am",103.552,108,19.4,70.8885,3.6
"Mar 9, 08:00 am",136.657,145,20.6,56.0298,3.1
"Mar 9, 09:00 am",228.465,238,21.7,41.2307,3.1
"Mar 9, 10:00 am",405.588,384,23.3,26.6302,5.2
"Mar 9, 11:00 am",826.115,664,25.6,12.938,5.2
"Mar 9, 12:00 pm",849.655,693,27.2,8.6441,5.2
"Mar 9, 01:00 pm",740.922,629,27.8,20.7645,5.2
"Mar 9, 02:00 pm",666.616,543,27.8,35.167,4.1
"Mar 9, 03:00 pm",446.613,379,27.2,49.9115,3.6
"Mar 9, 04:00 pm",288.464,226,26.7,64.7564,5.7
"Mar 9, 05:00 pm",85.5291,59,24.4,79.5596,3.1
"Mar 9, 06:00 pm",0,0,20.6,0,2.1
"Mar 9, 07:00 pm",0,0,21.7,0,3.1
"Mar 9, 08:00 pm",0,0,21.7,0,5.2
"Mar 9, 09:00 pm",0,0,20.6,0,5.2
"Mar 9, 10:00 pm",0,0,19.4,0,5.2
"Mar 9, 11:00 pm",0,0,19.4,0,2.6
"Mar 10, 12:00 am",0,0,18.9,0,5.7
"Mar 10, 01:00 am",0,0,19.4,0,5.2
"Mar 10, 02:00 am",0,0,19.4,0,4.1
"Mar 10, 03:00 am",0,0,19.4,0,4.6
"Mar 10, 04:00 am",0,0,19.4,0,3.6
"Mar 10, 05:00 am",0,0,19.4,0,4.1
"Mar 10, 06:00 am",13.7472,15,20,83.025,3.1
"Mar 10, 07:00 am",191.42,153,20.6,70.7938,4.6
"Mar 10, 08:00 am",376.415,306,21.7,55.922,5.2
"Mar 10, 09:00 am",686.562,548,23.9,41.103,5.2
"Mar 10, 10:00 am",951.277,762,25.6,26.4643,3.6
"Mar 10, 11:00 am",903.975,723,27.2,12.6643,4.1
"Mar 10, 12:00 pm",845.6,704,28.3,8.34397,4.1
"Mar 10, 01:00 pm",842.526,681,28.3,20.6899,4.1
"Mar 10, 02:00 pm",522.577,444,28.9,35.153,4.1
"Mar 10, 03:00 pm",450.887,365,28.3,49.9238,5.2
"Mar 10, 04:00 pm",290.827,232,26.7,64.7841,5.2
"Mar 10, 05:00 pm",94.3412,66,24.4,79.6306,5.7
"Mar 10, 06:00 pm",0,0,22.2,86.8009,4.1
"Mar 10, 07:00 pm",0,0,22.2,0,4.1
"Mar 10, 08:00 pm",0,0,21.1,0,4.1
"Mar 10, 09:00 pm",0,0,20.6,0,4.6
"Mar 10, 10:00 pm",0,0,19.4,0,4.1
"Mar 10, 11:00 pm",0,0,18.3,0,5.2
"Mar 11, 12:00 am",0,0,17.8,0,5.2
"Mar 11, 01:00 am",0,0,17.2,0,3.6
"Mar 11, 02:00 am",0,0,16.1,0,2.6
"Mar 11, 03:00 am",0,0,15,0,2.6
"Mar 11, 04:00 am",0,0,16.7,0,4.1
"Mar 11, 05:00 am",0,0,17.2,0,4.6
"Mar 11, 06:00 am",22.4847,24,17.8,83.0968,4.1
"Mar 11, 07:00 am",92.5437,92,18.9,70.6986,5.2
"Mar 11, 08:00 am",191.171,200,20.6,55.8143,6.7
"Mar 11, 09:00 am",244.484,256,22.2,40.9767,6.2
"Mar 11, 10:00 am",451.959,409,23.9,26.3012,7.7
"Mar 11, 11:00 am",669.911,578,25,12.3956,5.7
"Mar 11, 12:00 pm",526.435,499,25.6,8.05228,7.2
"Mar 11, 01:00 pm",461.95,437,26.7,20.6235,7.7
"Mar 11, 02:00 pm",704.849,586,27.8,35.1442,8.2
"Mar 11, 03:00 pm",459.165,376,27.2,49.9398,8.2
"Mar 11, 04:00 pm",191.024,172,26.1,64.8144,6.7
"Mar 11, 05:00 pm",64.3681,58,24.4,79.6724,5.7
"Mar 11, 06:00 pm",0.989465,2,23.3,86.9494,5.2
"Mar 11, 07:00 pm",0,0,22.8,0,5.7
"Mar 11, 08:00 pm",0,0,21.7,0,5.2
"Mar 11, 09:00 pm",0,0,21.1,0,5.7
"Mar 11, 10:00 pm",0,0,20.6,0,7.7
"Mar 11, 11:00 pm",0,0,20,0,5.2
"Mar 12, 12:00 am",0,0,19.4,0,7.2
"Mar 12, 01:00 am",0,0,20,0,4.1
"Mar 12, 02:00 am",0,0,20,0,2.6
"Mar 12, 03:00 am",0,0,19.4,0,2.6
"Mar 12, 04:00 am",0,0,18.9,0,3.6
"Mar 12, 05:00 am",0,0,18.9,0,3.6
"Mar 12, 06:00 am",21.2803,23,18.9,83.1683,3.6
"Mar 12, 07:00 am",95.1638,101,20,70.6027,3.6
"Mar 12, 08:00 am",235.606,228,21.1,55.707,5.2
"Mar 12, 09:00 am",251.085,263,22.8,40.8517,5.2
"Mar 12, 10:00 am",383.442,394,23.9,26.1414,4.6
"Mar 12, 11:00 am",541.378,510,25.6,12.1322,6.2
"Mar 12, 12:00 pm",225.695,236,25,7.77018,6.2
"Mar 12, 01:00 pm",261.681,272,24.4,20.5652,5.2
"Mar 12, 02:00 pm",163.269,174,23.3,35.1405,4.6
"Mar 12, 03:00 pm",100.639,108,22.2,49.9593,2.6
"Mar 12, 04:00 pm",118.429,125,22.8,64.8472,0
"Mar 12, 05:00 pm",34.2812,37,21.1,79.7159,2.1
"Mar 12, 06:00 pm",0.936248,1,20.6,87.0983,3.1
"Mar 12, 07:00 pm",0,0,20.6,0,4.1
"Mar 12, 08:00 pm",0,0,20,0,2.1
"Mar 12, 09:00 pm",0,0,20.6,0,2.6
"Mar 12, 10:00 pm",0,0,20,0,3.1
"Mar 12, 11:00 pm",0,0,20.6,0,4.6
"Mar 13, 12:00 am",0,0,20,0,4.6
"Mar 13, 01:00 am",0,0,20,0,3.6
"Mar 13, 02:00 am",0,0,19.4,0,2.6
"Mar 13, 03:00 am",0,0,18.3,0,2.6
"Mar 13, 04:00 am",0,0,17.8,0,2.6
"Mar 13, 05:00 am",0,0,16.1,0,2.1
"Mar 13, 06:00 am",37.4314,36,17.2,83.2393,1.5
"Mar 13, 07:00 am",109.028,101,18.9,70.5065,3.1
"Mar 13, 08:00 am",264.002,231,21.1,55.6001,4.6
"Mar 13, 09:00 am",613.871,499,22.8,40.7284,6.7
"Mar 13, 10:00 am",847.027,686,24.4,25.985,5.7
"Mar 13, 11:00 am",939.194,762,25,11.875,5.2
"Mar 13, 12:00 pm",853.93,700,25.6,7.49893,5.7
"Mar 13, 01:00 pm",885.419,717,26.1,20.5153,6.2
"Mar 13, 02:00 pm",626.191,517,26.1,35.1418,5.7
"Mar 13, 03:00 pm",315.113,284,26.1,49.9823,5.7
"Mar 13, 04:00 pm",279.749,228,26.7,64.8825,5.7
"Mar 13, 05:00 pm",83.3928,67,24.4,79.7609,4.6
"Mar 13, 06:00 pm",2.16064,4,22.2,87.2474,4.1
"Mar 13, 07:00 pm",0,0,22.2,0,5.2
"Mar 13, 08:00 pm",0,0,21.1,0,5.2
"Mar 13, 09:00 pm",0,0,20.6,0,5.2
"Mar 13, 10:00 pm",0,0,19.4,0,5.2
"Mar 13, 11:00 pm",0,0,18.3,0,3.6
"Mar 14, 12:00 am",0,0,17.8,0,3.6
"Mar 14, 01:00 am",0,0,17.2,0,3.6
"Mar 14, 02:00 am",0,0,17.2,0,4.6
"Mar 14, 03:00 am",0,0,17.2,0,2.6
"Mar 14, 04:00 am",0,0,17.2,0,4.6
"Mar 14, 05:00 am",0,0,17.8,0,5.2
"Mar 14, 06:00 am",28.7265,28,18.3,83.3101,4.6
"Mar 14, 07:00 am",121.474,120,20,70.4099,8.8
"Mar 14, 08:00 am",145.333,154,21.7,55.4938,6.7
"Mar 14, 09:00 am",189.21,200,21.7,40.6067,7.2
"Mar 14, 10:00 am",275.047,288,23.3,25.8322,8.8
"Mar 14, 11:00 am",445.029,423,24.4,11.6243,6.7
"Mar 14, 12:00 pm",306.141,319,25,7.23988,8.2
"Mar 14, 01:00 pm",255.281,269,25,20.4737,9.3
"Mar 14, 02:00 pm",246.378,258,24.4,35.1482,7.2
"Mar 14, 03:00 pm",272.323,263,24.4,50.0088,10.3
"Mar 14, 04:00 pm",102.239,95,24.4,64.9202,9.3
"Mar 14, 05:00 pm",44.1305,42,23.9,79.8075,7.7
"Mar 14, 06:00 pm",0,0,22.8,87.3967,9.3
"Mar 14, 07:00 pm",0,0,22.8,0,10.3
"Mar 14, 08:00 pm",0,0,22.2,0,11.3
"Mar 14, 09:00 pm",0,0,22.2,0,9.3
"Mar 14, 10:00 pm",0,0,22.2,0,7.7
"Mar 14, 11:00 pm",0,0,21.7,0,6.2
"Mar 15, 12:00 am",0,0,21.7,0,7.2
"Mar 15, 01:00 am",0,0,13.9,0,5.2
"Mar 15, 02:00 am",0,0,11.7,0,3.1
"Mar 15, 03:00 am",0,0,11.7,0,2.1
"Mar 15, 04:00 am",0,0,12.2,0,2.1
"Mar 15, 05:00 am",0,0,12.2,0,0
"Mar 15, 06:00 am",12.7075,14,12.2,83.3806,0
"Mar 15, 07:00 am",91.3926,97,12.8,70.3131,2.6
"Mar 15, 08:00 am",226.987,236,13.3,55.3881,2.6
"Mar 15, 09:00 am",238.982,251,15,40.4868,3.1
"Mar 15, 10:00 am",157.058,169,13.9,25.6832,3.6
"Mar 15, 11:00 am",194.894,208,12.8,11.381,3.1
"Mar 15, 12:00 pm",216.518,229,12.8,6.99453,4.1
"Mar 15, 01:00 pm",188.02,200,11.7,20.4404,3.1
"Mar 15, 02:00 pm",311.045,323,12.2,35.1595,1.5
"Mar 15, 03:00 pm",231.421,241,12.2,50.0386,0
"Mar 15, 04:00 pm",81.5608,88,12.2,64.9603,0
"Mar 15, 05:00 pm",23.6423,26,12.2,79.8555,0
"Mar 15, 06:00 pm",0.936248,1,12.8,87.5461,0
"Mar 15, 07:00 pm",0,0,12.8,0,0
